id_jurusan,nama_jurusan
1,Kedokteran
2,Ilmu Keperawatan
3,Kesehatan Masyarakat
4,Kedokteran Gigi
5,Ilmu Hukum
6,Teknik Sipil
7,Teknik Arsitektur
8,Teknik Mesin
9,Teknik Elektro
10,Teknik Industri
11,Teknik Lingkungan
12,Teknik Informasi
13,Akuntansi
14,Manajemen
15,Ekonomi Pembangunan
16,Sastra Indonesia
17,Sastra Inggris
18,Arkeologi
19,Ilmu Sejarah
20,Matematika
21,Fisika
22,Kimia
23,Biologi
24,Farmasi
25,Informatika
26,Agroteknologi
27,Agribisnis
28,Ilmu dan Teknologi Pangan
29,Destinasi Pariwisata
30,Industri Perjalanan Wisata
31,Sosiologi
32,Ilmu Komunikasi
33,Hubungan Internasional
34,Ilmu Kelautan
35,Bimbingan Konseling
36,PGSD
37,Pendidikan Bahasa Inggris
38,Pendidikan Seni Rupa
39,Pendidikan Matematika
40,Pendidikan Biologi
41,Pendidikan Sejarah
42,Pendidikan Teknik Informatika
43,Seni Karawitan
44,Seni Tari
45,Seni Musik
46,Seni Rupa Murni
47,Desain Interior
48,Desain Komunikasi Visual
49,Film dan Televisi
50,Usaha Perjalanan Wisata
51,Perhotelan
52,Teknik Listrik
53,Administrasi Bisnis
54,Ilmu Pemerintahan
55,Arsitektur
56,Pendidikan Dokter Gigi
57,Teknologi Informasi
58,Penerangan Agama Hindu
59,Perencanaan Wilayah Kota
60,Ayur Veda
61,Pendidikan Guru PAUD
62,Ilmu Gizi
63,Fisioterapi
64,Perekam Medik
65,Administrasi Publik
